transaction_id,timestamp,amount,declared_instrument,sub_instrument,card_bin,card_tier,mcc,merchant_true_category,tax_amount_provided,po_code_provided,line_item_detail_provided,contracted_flat_rate,fee_charged,tax_charged,turnover_tier,injected_issue,classification,matched_rule_id,expected_fee,fee_charged,delta,note
TXN_000011,2026-08-19 08:34:19,2203.92,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,False,0.02,24.24,4.36,above_20L,clean,Matched,R6c,24.24,24.24,0.0,Accurate fee verified against R6c.
TXN_000012,2026-08-29 12:49:10,2140.92,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000013,2026-08-28 12:57:03,2176.74,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000014,2026-08-30 04:17:44,17706.7,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000015,2026-08-21 03:35:52,47313.06,Card,Mastercard_credit,433333.0,corporate,5045,B2B wholesale,True,True,True,0.02,946.26,170.33,above_20L,clean,Flagged_For_Review,R9,946.26,946.26,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000016,2026-08-21 23:19:45,37079.34,UPI,RuPay_credit_UPI,533333.0,corporate,5411,B2B wholesale,True,True,True,0.02,556.19,100.11,above_20L,R12_mcc_misclassification,Matched,R4,556.19,556.19,0.0,Accurate fee verified against R4.
TXN_000017,2026-08-20 21:11:19,2400.25,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000018,2026-08-29 06:07:25,13533.94,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000019,2026-08-27 17:40:43,2317.93,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000020,2026-08-21 10:32:59,36787.22,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000021,2026-08-23 18:43:43,2242.14,UPI,RuPay_credit_UPI,411111.0,basic,5045,B2B wholesale,True,True,False,0.02,33.63,6.05,above_20L,clean,Matched,R4,33.63,33.63,0.0,Accurate fee verified against R4.
TXN_000022,2026-08-28 01:35:59,2093.23,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000023,2026-08-27 15:00:49,41267.77,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000024,2026-08-24 11:31:26,25642.95,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000025,2026-08-19 20:11:35,52842.14,Card,RuPay_debit,422222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000026,2026-08-16 20:40:52,2207.75,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000027,2026-08-27 05:38:36,20074.32,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000028,2026-08-29 22:39:50,48911.13,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000029,2026-08-24 04:33:49,59575.44,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000030,2026-08-19 01:39:09,34833.56,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000031,2026-08-22 04:47:00,2328.69,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000032,2026-08-21 18:03:43,2099.9,UPI,RuPay_credit_UPI,411111.0,basic,5045,B2B wholesale,True,True,False,0.02,31.5,5.67,above_20L,clean,Matched,R4,31.5,31.5,0.0,Accurate fee verified against R4.
TXN_000033,2026-08-29 12:38:29,20923.19,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000034,2026-08-24 17:53:24,24393.56,Card,Visa_credit,422222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,487.87,87.82,above_20L,clean,Flagged_For_Review,R9,487.87,487.87,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000035,2026-08-19 21:22:28,2073.13,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000036,2026-08-27 10:54:35,52555.38,Card,RuPay_debit,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000037,2026-08-22 21:18:05,24732.28,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000038,2026-08-23 14:03:56,2145.39,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000039,2026-08-19 23:32:25,31740.5,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000040,2026-08-23 08:38:58,40483.24,UPI,bank_UPI,,,5411,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000041,2026-08-30 05:29:31,11083.84,Card,RuPay_debit,411111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000042,2026-08-24 19:11:21,35059.41,Card,Visa_credit,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,701.19,126.21,above_20L,clean,Flagged_For_Review,R9,701.19,701.19,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000043,2026-08-21 07:13:54,16358.57,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000044,2026-08-22 20:11:25,15902.49,Card,RuPay_debit,533333.0,corporate,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000045,2026-08-25 10:46:32,2364.2,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000046,2026-08-16 17:16:24,8910.18,UPI,RuPay_credit_UPI,411111.0,basic,5045,B2B wholesale,True,True,False,0.02,133.65,24.06,above_20L,clean,Matched,R4,133.65,133.65,0.0,Accurate fee verified against R4.
TXN_000047,2026-08-26 19:58:18,15695.24,Card,RuPay_debit,422222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000048,2026-08-26 12:35:36,2228.43,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000049,2026-08-28 19:15:29,52698.0,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,True,0.02,579.68,104.34,above_20L,clean,Matched,R6c,579.68,579.68,0.0,Accurate fee verified against R6c.
TXN_000050,2026-08-26 11:08:32,59241.29,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,True,0.02,651.65,117.3,above_20L,clean,Matched,R6c,651.65,651.65,0.0,Accurate fee verified against R6c.
TXN_000051,2026-08-29 16:52:22,61289.86,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000052,2026-08-28 14:54:52,9592.93,Card,Debit_non_rupay,,,5045,B2B wholesale,True,True,False,0.02,86.34,15.54,above_20L,clean,Matched,R8,86.34,86.34,0.0,Accurate fee verified against R8.
TXN_000053,2026-08-26 21:56:08,2357.35,UPI,bank_UPI,,,5411,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000054,2026-08-22 11:53:12,2300.06,UPI,RuPay_credit_UPI,433333.0,corporate,5045,B2B wholesale,True,True,False,0.02,34.5,6.21,above_20L,clean,Matched,R4,34.5,34.5,0.0,Accurate fee verified against R4.
TXN_000055,2026-08-16 20:23:45,58747.76,Card,RuPay_debit,433333.0,corporate,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000056,2026-08-29 20:58:41,31633.48,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000057,2026-08-29 00:34:42,2185.3,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000058,2026-08-27 02:45:37,2116.8,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,False,0.02,23.28,4.19,above_20L,clean,Matched,R6c,23.28,23.28,0.0,Accurate fee verified against R6c.
TXN_000059,2026-08-21 16:13:26,2134.8,UPI,RuPay_credit_UPI,511111.0,basic,5045,B2B wholesale,True,True,False,0.02,32.02,5.76,above_20L,clean,Matched,R4,32.02,32.02,0.0,Accurate fee verified against R4.
TXN_000060,2026-08-23 16:09:21,14984.31,Card,Mastercard_credit,411111.0,basic,5045,B2B wholesale,True,True,True,0.02,299.69,53.94,above_20L,clean,Flagged_For_Review,R9,299.69,299.69,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000061,2026-08-17 15:37:39,18024.01,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000062,2026-08-16 18:33:59,44233.74,Card,Visa_credit,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,884.67,159.24,above_20L,clean,Flagged_For_Review,R9,884.67,884.67,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000063,2026-08-29 22:55:56,42806.51,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000064,2026-08-23 13:14:21,12642.35,UPI,RuPay_credit_UPI,607222.0,corporate,5045,B2B wholesale,True,True,True,0.02,189.64,34.14,above_20L,clean,Matched,R4,189.64,189.64,0.0,Accurate fee verified against R4.
TXN_000065,2026-08-20 19:04:58,52811.75,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000066,2026-08-25 10:51:39,17039.74,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000067,2026-08-27 23:38:28,2166.46,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000068,2026-08-29 22:46:49,15804.22,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000069,2026-08-15 16:23:56,2276.51,UPI,PPI_wallet_UPI,,,5411,B2B wholesale,True,True,False,0.02,25.04,4.51,above_20L,R12_mcc_misclassification,Leaked,R6b,20.49,25.04,4.55,"Statutory disparity against R6b: expected Rs 20.49, charged Rs 25.04."
TXN_000070,2026-08-28 00:53:21,49099.23,Card,RuPay_debit,511111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000071,2026-08-23 17:33:06,2237.53,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000072,2026-08-28 07:45:09,59236.97,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000073,2026-08-21 20:59:22,58771.85,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000074,2026-08-20 23:20:35,2346.02,UPI,RuPay_credit_UPI,433333.0,corporate,5045,B2B wholesale,True,True,False,0.02,35.19,6.33,above_20L,clean,Matched,R4,35.19,35.19,0.0,Accurate fee verified against R4.
TXN_000075,2026-08-25 06:33:45,42332.98,Card,RuPay_debit,533333.0,corporate,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000076,2026-08-24 20:59:49,16518.37,Card,RuPay_debit,607111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000077,2026-08-27 00:22:42,7476.53,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000078,2026-08-16 19:09:24,37283.21,UPI,bank_UPI,,,5411,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000079,2026-08-17 13:18:50,12518.57,Card,Mastercard_credit,511111.0,basic,5045,B2B wholesale,True,True,True,0.02,250.37,45.07,above_20L,clean,Flagged_For_Review,R9,250.37,250.37,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000080,2026-08-21 05:47:38,40574.81,Card,,511111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,exception_missing_tag,Exception,NONE,,0.0,,Missing sub_instrument routing tag; cannot verify applicable statutory MDR.
TXN_000081,2026-08-16 06:21:35,59967.17,Card,Mastercard_credit,607111.0,basic,5045,B2B wholesale,True,True,True,0.02,1199.34,215.88,above_20L,clean,Flagged_For_Review,R9,1199.34,1199.34,0.0,Market credit card rate applied; requires bilateral MSA contract review.
TXN_000082,2026-08-27 20:19:15,57436.1,Card,RuPay_debit,607111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000083,2026-08-19 18:13:16,2271.87,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000084,2026-08-24 22:52:22,9979.69,Card,Debit_non_rupay,,,5045,B2B wholesale,True,True,False,0.02,89.82,16.17,above_20L,clean,Matched,R8,89.82,89.82,0.0,Accurate fee verified against R8.
TXN_000085,2026-08-21 16:09:16,2053.1,UPI,RuPay_credit_UPI,522222.0,premium_rewards,5045,B2B wholesale,True,True,False,0.02,30.8,5.54,above_20L,clean,Matched,R4,30.8,30.8,0.0,Accurate fee verified against R4.
TXN_000086,2026-08-23 07:27:24,2192.83,UPI,RuPay_credit_UPI,433333.0,corporate,5411,B2B wholesale,True,True,False,0.02,32.89,5.92,above_20L,R12_mcc_misclassification,Matched,R4,32.89,32.89,0.0,Accurate fee verified against R4.
TXN_000087,2026-08-25 18:50:12,2369.26,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000088,2026-08-26 13:54:08,17550.0,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000089,2026-08-15 22:01:11,38733.53,Card,RuPay_debit,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000090,2026-08-22 00:29:05,2447.73,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000091,2026-08-17 13:24:55,35732.48,Card,RuPay_debit,607222.0,corporate,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000092,2026-08-16 16:31:40,21565.47,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000093,2026-08-26 20:46:10,2284.3,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000094,2026-08-24 14:44:17,50806.17,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000095,2026-08-18 17:19:52,6447.75,UPI,,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,exception_missing_tag,Exception,NONE,,0.0,,Missing sub_instrument routing tag; cannot verify applicable statutory MDR.
TXN_000096,2026-08-19 14:14:13,30574.27,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000097,2026-08-28 14:01:16,25716.86,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000098,2026-08-28 23:50:50,46193.07,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,True,0.02,508.12,91.46,above_20L,clean,Matched,R6c,508.12,508.12,0.0,Accurate fee verified against R6c.
TXN_000099,2026-08-25 13:57:42,2012.37,UPI,PPI_wallet_UPI,,,5411,B2B wholesale,True,True,False,0.02,22.14,3.99,above_20L,R12_mcc_misclassification,Leaked,R6b,18.11,22.14,4.03,"Statutory disparity against R6b: expected Rs 18.11, charged Rs 22.14."
TXN_000100,2026-08-28 21:38:51,2437.59,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,False,0.02,26.81,4.83,above_20L,clean,Matched,R6c,26.81,26.81,0.0,Accurate fee verified against R6c.
TXN_000101,2026-08-27 15:45:05,43334.98,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000102,2026-08-24 15:11:23,37388.51,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000103,2026-08-18 14:50:47,2417.51,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000104,2026-08-20 03:46:55,2185.0,UPI,RuPay_credit_UPI,533333.0,corporate,5045,B2B wholesale,False,False,False,0.02,50.25,9.04,above_20L,R10_l2_l3_downgrade,Leaked,R4,32.77,50.25,17.48,"Statutory disparity against R4: expected Rs 32.77, charged Rs 50.25."
TXN_000105,2026-08-27 15:50:42,3528.44,UPI,bank_UPI,,,5411,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000106,2026-08-21 11:21:04,51484.81,UPI,PPI_wallet_UPI,,,5045,B2B wholesale,True,True,True,0.02,566.33,101.94,above_20L,clean,Matched,R6c,566.33,566.33,0.0,Accurate fee verified against R6c.
TXN_000107,2026-08-19 05:48:46,20675.89,UPI,bank_UPI,,,5411,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000108,2026-08-21 17:13:02,46484.22,Card,RuPay_debit,522222.0,premium_rewards,5411,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000109,2026-08-16 18:13:26,61313.25,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000110,2026-08-23 21:07:13,2360.32,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000111,2026-08-20 17:53:06,2126.52,UPI,bank_UPI,,,5411,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,R12_mcc_misclassification,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000112,2026-08-23 04:55:20,2241.69,UPI,,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,exception_missing_tag,Exception,NONE,,0.0,,Missing sub_instrument routing tag; cannot verify applicable statutory MDR.
TXN_000113,2026-08-24 09:55:14,2219.73,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000114,2026-08-21 10:34:51,2426.54,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000115,2026-08-25 21:34:49,2146.82,UPI,bank_UPI,,,5045,B2B wholesale,True,True,False,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000116,2026-08-28 05:14:06,21699.21,Card,RuPay_debit,511111.0,basic,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R2,0.0,0.0,0.0,Accurate fee verified against R2.
TXN_000117,2026-08-27 03:32:18,21068.08,UPI,RuPay_credit_UPI,522222.0,premium_rewards,5045,B2B wholesale,True,True,True,0.02,316.02,56.88,above_20L,clean,Matched,R4,316.02,316.02,0.0,Accurate fee verified against R4.
TXN_000118,2026-08-15 19:09:23,61434.84,UPI,bank_UPI,,,5045,B2B wholesale,True,True,True,0.02,0.0,0.0,above_20L,clean,Matched,R1,0.0,0.0,0.0,Accurate fee verified against R1.
TXN_000119,2026-08-27 02:14:59,2331.67,UPI,PPI_wallet_UPI,,,5411,B2B wholesale,True,True,False,0.02,25.65,4.62,above_20L,R12_mcc_misclassification,Leaked,R6b,20.99,25.65,4.66,"Statutory disparity against R6b: expected Rs 20.99, charged Rs 25.65."
